Trace 1 X	Trace 1 Y	Trace 2 X	Trace 2 Y	
125795	105471	238473	199121	
125774	105452	238451	199103	
125752	105434	238428	199086	
125731	105415	238406	199068	
125710	105396	238384	199051	
125688	105377	238361	199033	
125667	105358	238339	199016	
125646	105340			
125625	105321			
125603	105302			
125582	105283			
125561	105265			
125539	105246			
125518	105227			
125497	105208			
125476	105189			
125454	105171			
125433	105152			
125412	105133			
125390	105114			
125369	105096			
125348	105077			
125327	105058			
125305	105039			
125284	105020			
125263	105002			
125241	104983			
125220	104964			
125199	104945			
125178	104926			
125156	104908			
125135	104889			
125114	104870			
125092	104851			
125071	104833			
125050	104814			
125029	104795			
125007	104776			
124986	104757			
124965	104739			
124943	104720			
124922	104701			
124901	104682			
124879	104663			
124858	104645			
124837	104626			
124816	104607			
124794	104588			
124773	104570			
124752	104551			
124730	104532			
124709	104513			
124688	104494			
124667	104476			
124645	104457			
124624	104438			
124603	104419			
124581	104400			
124560	104382			
124539	104363			
124518	104344			
124496	104325			
124475	104307			
124454	104288			
124432	104269			
124411	104250			
124390	104231			
124369	104213			
124347	104194			
124326	104175			
124305	104156			
124283	104137			
124262	104119			
124241	104100			
124220	104081			
124198	104062			
124177	104043			
124156	104025			
124134	104006			
124113	103987			
124092	103968			
124071	103950			
124049	103931			
124028	103912			
124007	103893			
123985	103874			
123964	103856			
123943	103837			
123922	103818			
123900	103799			
123879	103780			
123858	103762			
123836	103743			
123815	103724			
123794	103705			
123773	103687			
123751	103668			
123730	103649			
123709	103630			
123687	103611			
123666	103593			
123645	103574			
123624	103555			
123602	103536			
123581	103517			
123560	103499			
123538	103480			
123517	103461			
123496	103442			
123475	103423			
123453	103405			
123432	103386			
123411	103367			
123389	103348			
123368	103330			
123347	103311			
123326	103292			
123304	103273			
123283	103254			
123262	103236			
123240	103217			
123219	103198			
123198	103179			
123177	103160			
123155	103142			
123134	103123			
123113	103104			
123091	103085			
123070	103066			
123049	103048			
123028	103029			
123006	103010			
122985	102991			
122964	102973			
122942	102954			
122921	102935			
122900	102916			
122879	102897			
122857	102879			
122836	102860			
122815	102841			
122793	102822			
122772	102803			
122751	102785			
122730	102766			
122708	102747			
122687	102728			
122666	102709			
